vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
11245245,2020-12-18,2020-07-02,25,153,EA,CT
67163621,2021-01-12,2020-08-27,28,136,EA,CT
17262410,2021-01-21,2020-10-13,32,98,EA,CT
88419143,2020-10-30,2020-06-09,28,143,EA,CT
63914697,2021-01-25,2020-07-22,32,108,EA,CT
82280389,2021-03-02,2020-10-30,0,998,EA,CT
45783676,2021-03-02,2020-10-30,31,118,EA,CT
41831669,2021-03-02,2020-10-30,0,998,EA,CT
25218496,2021-03-01,2020-11-12,0,998,EA,CT
82649438,2021-01-05,2020-10-05,29,128,EA,CT
34953720,2020-12-09,2020-07-14,29,133,IA,CT
41553153,2020-12-29,2020-08-13,31,115,EA,CT
87856158,2021-02-02,2020-09-29,28,135,IA,CT
53689997,2020-12-01,2020-06-12,32,100,EA,CT
85352159,2020-12-09,2020-09-01,12,174,IA,CT
51916672,2021-01-19,2020-10-19,32,110,EA,CT
56947525,2021-02-17,2020-10-14,21,162,EA,CT
43410551,2020-10-27,2020-07-08,32,102,EA,CT
33974447,2020-09-18,2020-08-10,0,0,EA,CT
99353932,2020-10-23,2020-06-08,25,152,EA,CT
15024729,2020-10-22,2020-06-10,40,44,EA,CT
60139134,2020-10-23,2020-06-12,31,114,EA,CT
87419357,2020-10-23,2020-06-12,32,109,EA,CT
68757914,2020-10-27,2020-06-11,25,149,EA,CT
90675232,2020-10-27,2020-06-11,0,998,EA,CT
89655364,2020-10-23,2020-06-11,25,144,EA,CT
57697427,2020-12-29,2020-08-24,31,115,EA,CT
71689760,2020-11-13,2020-06-12,25,153,EA,CT
17039819,2020-11-13,2020-06-12,31,124,EA,CT
31244436,2020-11-03,2020-06-15,40,60,EA,CT
23868092,2020-12-08,2020-08-17,28,143,IA,CT
79344423,2020-10-30,2020-06-16,32,95,IA,CT
11307595,2020-11-04,2020-06-16,40,62,EA,CT
60999654,2020-11-09,2020-06-16,28,136,IA,CT
57013288,2020-11-04,2020-06-16,25,152,EA,CT
90498425,2020-11-12,2020-06-16,40,51,IA,CT
17618179,2020-11-09,2020-06-17,25,147,IA,CT
17453057,2020-11-13,2020-06-18,31,117,EA,CT
86698889,2020-11-04,2020-06-23,25,147,IA,CT
95312486,2020-11-24,2020-06-24,28,141,EA,CT
32122631,2020-11-13,2020-06-25,35,90,EA,CT
31630927,2020-11-12,2020-06-25,40,20,IA,CT
96656249,2020-12-03,2020-06-29,32,98,EA,CT
83607521,2020-11-16,2020-06-30,32,98,IA,CT
37510893,2020-12-16,2020-06-30,29,130,EA,CT
91560326,2020-12-16,2020-06-30,32,110,EA,CT
93324257,2020-11-19,2020-07-07,40,54,EA,CT
49264374,2020-12-11,2020-07-08,28,143,EA,CT
44368207,2020-12-01,2020-07-20,32,97,IA,CT
32219464,2021-01-14,2020-07-15,35,64,EA,CT
50140840,2020-12-01,2020-07-15,29,127,EA,CT
94294576,2020-12-11,2020-07-16,32,110,EA,CT
75603751,2020-12-03,2020-07-16,21,158,EA,CT
51521408,2020-12-01,2020-08-13,29,125,EA,CT
42283706,2020-12-15,2020-07-23,25,152,EA,CT
65748362,2020-12-15,2020-07-23,40,36,EA,CT
74303248,2020-12-15,2020-07-23,29,129,EA,CT
94675653,2020-12-15,2020-07-23,32,96,EA,CT
28473708,2020-12-16,2020-07-17,31,120,IA,CT
11520566,2020-12-15,2020-07-30,25,150,EA,CT
26373339,2020-12-18,2020-08-05,0,998,IA,CT
61991100,2020-12-29,2020-08-07,32,109,EA,CT
19347804,2020-12-29,2020-08-07,31,116,IA,CT
92412015,2020-12-22,2020-08-08,12,180,EA,CT
71346665,2020-12-29,2020-08-10,40,37,EA,CT
49234269,2020-12-28,2020-08-11,28,140,EA,CT
18083844,2020-12-28,2020-08-11,0,998,IA,CT
96686276,2020-12-29,2020-08-11,29,133,EA,CT
42350599,2021-01-07,2020-08-18,31,119,IA,CT
57435781,2021-01-07,2020-08-18,0,998,IA,CT
81234219,2021-01-08,2020-08-12,35,76,IA,CT
88046076,2021-01-08,2020-08-12,0,998,IA,CT
32349838,2020-12-29,2020-08-13,32,108,IA,CT
60721248,2020-12-30,2020-08-17,21,160,EA,CT
18376136,2021-01-04,2020-08-18,28,139,EA,CT
30659637,2020-12-31,2020-08-18,35,86,EA,CT
83375368,2021-03-04,2020-08-19,25,147,EA,CT
20456028,2021-01-05,2020-08-21,32,104,EA,CT
88223611,2021-01-06,2020-08-24,31,120,EA,CT
72367714,2021-01-06,2020-08-24,32,108,EA,CT
24600836,2021-01-15,2020-08-25,0,997,EA,CT
73342748,2021-01-07,2020-08-25,29,128,EA,CT
11184018,2021-01-11,2020-08-26,0,998,IA,CT
75183237,2021-01-12,2020-08-28,29,128,EA,CT
16210993,2021-01-12,2020-08-29,40,52,EA,CT
81235639,2021-01-12,2020-09-02,0,998,IA,CT
94834843,2021-01-20,2020-09-04,40,59,EA,CT
84144318,2021-01-20,2020-09-09,5,194,EA,CT
32537105,2021-01-20,2020-09-09,32,107,EA,CT
44340168,2021-01-25,2020-09-09,25,149,EA,CT
62909308,2021-02-17,2020-09-10,0,998,IA,CT
99247377,2020-09-15,2020-09-10,0,0,IA,CT
